City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Sarana,RU,2022-05-25 23:08:44,56.4773,57.7259,47.05,96,68,6.06
232,Kirovskiy,RU,2022-05-25 23:08:45,45.0917,133.5136,64.45,74,100,8.77
233,Adre,TD,2022-05-25 23:08:45,13.4667,22.2,81.77,7,92,11.65
234,Port Macquarie,AU,2022-05-25 23:08:45,-31.4333,152.9167,60.89,85,89,3.33
235,Hasaki,JP,2022-05-25 23:04:38,35.7333,140.8333,70.29,72,37,7.52
236,Bonnyville,CA,2022-05-25 23:08:46,54.2668,-110.735,63.0,52,61,3.65
237,Aban,RU,2022-05-25 23:08:46,56.67,96.06,54.54,78,26,9.33
238,Menongue,AO,2022-05-25 23:08:47,-14.6585,17.691,50.36,50,0,2.82
239,Baykit,RU,2022-05-25 23:08:47,61.67,96.37,49.08,85,87,3.76
240,Daru,PG,2022-05-25 23:08:48,-9.0763,143.2092,81.59,75,88,10.94
241,Batagay-Alyta,RU,2022-05-25 23:08:48,67.8006,130.4114,26.62,82,97,14.9
242,Lanzhou,CN,2022-05-25 23:08:48,36.0564,103.7922,64.2,68,100,1.23
243,Nouadhibou,MR,2022-05-25 23:08:49,20.931,-17.0347,65.62,89,0,22.39
244,Atar,MR,2022-05-25 23:08:49,20.5169,-13.0499,95.49,11,89,6.71
245,Natal,BR,2022-05-25 23:07:45,-5.795,-35.2094,75.85,100,40,3.44
246,Clyde River,CA,2022-05-25 23:08:50,70.4692,-68.5914,20.86,87,100,20.11
247,Asfi,MA,2022-05-25 23:08:50,32.2994,-9.2372,64.51,78,27,18.03
248,Viedma,AR,2022-05-25 23:08:50,-40.8135,-62.9967,41.9,59,1,6.49
249,Plettenberg Bay,ZA,2022-05-25 23:08:51,-34.0527,23.3716,59.86,80,75,5.77
250,Burnie,AU,2022-05-25 23:08:51,-41.0667,145.9167,56.95,89,100,10.85
251,Natubleng,PH,2022-05-25 23:08:52,16.6965,120.7805,58.48,85,72,1.72
252,Twin Falls,US,2022-05-25 23:06:59,42.3505,-114.6445,79.14,19,0,10.36
253,Linguere,SN,2022-05-25 23:08:52,15.3953,-15.1193,77.11,57,7,13.29
254,Nyzhni Sirohozy,UA,2022-05-25 23:08:53,46.8484,34.3804,53.83,61,94,8.1
255,Goderich,CA,2022-05-25 23:08:53,43.7501,-81.7165,56.44,94,100,15.66
256,Gat,IL,2022-05-25 23:06:03,31.61,34.7642,76.41,73,0,6.04
257,Sola,VU,2022-05-25 23:08:54,-13.8833,167.55,81.16,71,33,10.18
258,Marsh Harbour,BS,2022-05-25 23:05:30,26.5412,-77.0636,78.26,72,40,14.94
259,Alofi,NU,2022-05-25 23:08:54,-19.0595,-169.9187,79.16,74,90,15.57
260,Sao Gabriel Da Cachoeira,BR,2022-05-25 23:08:55,-0.1303,-67.0892,77.45,84,95,2.42
261,Portadown,GB,2022-05-25 23:08:55,54.4241,-6.4412,53.42,88,22,8.59
262,Tres Picos,MX,2022-05-25 23:08:56,15.8667,-93.5333,86.05,66,90,8.28
263,Wanning,CN,2022-05-25 23:08:56,18.8003,110.3967,78.39,91,100,5.08
264,Matadi,CD,2022-05-25 23:08:56,-5.8167,13.45,72.55,90,35,2.55
265,Lata,PT,2022-05-25 23:08:57,40.1629,-8.3327,60.08,82,33,3.65
266,Thunder Bay,CA,2022-05-25 23:08:57,48.4001,-89.3168,44.46,97,100,8.34
267,Orzinuovi,IT,2022-05-25 23:08:58,45.404,9.9216,70.05,87,5,1.95
268,Beibei,CN,2022-05-25 23:08:58,29.8256,106.4339,74.25,93,100,1.88
269,Te Anau,NZ,2022-05-25 23:08:58,-45.4167,167.7167,41.11,82,12,1.5
270,Kruisfontein,ZA,2022-05-25 23:08:59,-34.0033,24.7314,59.02,85,38,11.36
271,Fortuna,US,2022-05-25 23:08:59,40.5982,-124.1573,68.86,74,0,14.97
272,Wanaka,NZ,2022-05-25 23:09:00,-44.7,169.15,40.1,76,40,1.3
273,Kabwe,ZM,2022-05-25 23:10:00,-14.4469,28.4464,54.68,43,0,3.85
274,Puerto Wilches,CO,2022-05-25 23:10:01,7.3483,-73.896,79.43,89,100,2.37
275,Xinzhou,CN,2022-05-25 23:10:01,38.4092,112.7333,61.75,40,67,0.63
276,Kamiiso,JP,2022-05-25 23:10:02,41.8167,140.65,57.58,88,40,3.44
277,Yichun,CN,2022-05-25 23:10:02,47.7,128.9,52.07,88,100,3.47
278,Maraba,BR,2022-05-25 23:05:38,-5.3686,-49.1178,76.12,78,56,2.51
279,Nurobod,UZ,2022-05-25 23:10:03,40.9056,69.8023,73.74,26,29,8.81
280,Pauini,BR,2022-05-25 23:10:03,-7.7136,-66.9764,77.13,73,63,2.48
281,Ahipara,NZ,2022-05-25 23:10:04,-35.1667,173.1667,62.31,52,87,6.26
282,Kieta,PG,2022-05-25 23:10:04,-6.2167,155.6333,84.18,70,97,3.76
283,Caldwell,US,2022-05-25 23:10:05,43.6629,-116.6874,85.35,26,0,5.75
284,Constitucion,CL,2022-05-25 23:10:05,-35.3333,-72.4167,50.77,76,50,8.05
285,Ilulissat,GL,2022-05-25 23:10:05,69.2167,-51.1,35.62,55,100,0.0
286,Sioux Lookout,CA,2022-05-25 23:10:06,50.1001,-91.917,59.2,54,100,9.64
287,Arraial Do Cabo,BR,2022-05-25 23:07:32,-22.9661,-42.0278,73.33,77,0,19.95
288,Ngunguru,NZ,2022-05-25 23:10:07,-35.6167,174.5,60.91,64,93,8.01
289,Beringovskiy,RU,2022-05-25 23:10:07,63.05,179.3167,46.15,62,69,3.85
290,Rocha,UY,2022-05-25 23:10:08,-34.4833,-54.3333,51.35,90,100,15.03
291,Bako,ET,2022-05-25 23:10:08,5.7833,36.5667,61.9,93,100,3.06
292,Ardahan,TR,2022-05-25 23:10:08,41.1087,42.7022,30.88,80,0,0.81
293,Ellisras,ZA,2022-05-25 23:10:09,-23.6649,27.7443,61.18,41,0,5.21
294,Bubaque,GW,2022-05-25 23:10:09,11.2833,-15.8333,78.1,76,98,2.71
