City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
213,Mitchell,US,2022-05-28 17:08:20,43.7094,-98.0298,82.38,40,0,12.66,clear sky
214,Calvinia,ZA,2022-05-28 17:08:20,-31.4707,19.776,49.48,81,0,6.8,clear sky
215,Cervo,ES,2022-05-28 17:08:21,43.6702,-7.4101,62.71,85,95,15.08,overcast clouds
216,Half Moon Bay,US,2022-05-28 17:08:21,37.4636,-122.4286,72.59,73,75,10.36,mist
217,Saint-Augustin,CA,2022-05-28 17:08:22,51.226,-58.6502,47.89,67,100,20.09,overcast clouds
218,Myrtle Beach,US,2022-05-28 17:08:22,33.6891,-78.8867,89.98,74,40,11.5,scattered clouds
219,Souillac,MU,2022-05-28 17:08:22,-20.5167,57.5167,75.58,73,40,13.8,light rain
220,Nangong,CN,2022-05-28 17:08:23,37.3581,115.3744,82.02,39,75,22.82,broken clouds
221,Manzhouli,CN,2022-05-28 17:08:23,49.6,117.4333,50.32,29,99,5.91,overcast clouds
222,Mahebourg,MU,2022-05-28 17:08:24,-20.4081,57.7,75.49,73,40,13.8,scattered clouds
223,East London,ZA,2022-05-28 17:08:24,-33.0153,27.9116,72.07,48,0,7.85,clear sky
224,Balkhash,KZ,2022-05-28 17:08:25,46.844,74.9804,62.2,68,89,23.09,overcast clouds
225,Amazar,RU,2022-05-28 17:08:25,53.858,120.875,38.17,97,93,2.26,overcast clouds
226,Ilulissat,GL,2022-05-28 17:04:54,69.2167,-51.1,35.62,80,75,11.5,broken clouds
227,Lompoc,US,2022-05-28 17:06:07,34.6391,-120.4579,69.57,86,100,12.66,overcast clouds
228,Meulaboh,ID,2022-05-28 17:08:26,4.1363,96.1285,76.98,85,89,4.23,overcast clouds
229,Iqaluit,CA,2022-05-28 17:08:26,63.7506,-68.5145,29.7,86,13,17.0,few clouds
230,Puri,IN,2022-05-28 17:08:26,19.8,85.85,90.12,85,35,11.9,scattered clouds
231,Tavira,PT,2022-05-28 17:08:27,37.1273,-7.6486,75.27,66,24,10.0,few clouds
232,Ucluelet,CA,2022-05-28 17:08:27,48.9329,-125.5528,53.1,88,100,2.91,overcast clouds
233,Pangai,TO,2022-05-28 17:08:28,-19.8,-174.35,79.39,83,92,17.74,light rain
234,Homer,US,2022-05-28 17:08:28,59.6425,-151.5483,65.05,53,0,4.61,clear sky
235,Turkistan,KZ,2022-05-28 17:08:29,43.0,68.0,67.78,38,98,4.56,overcast clouds
236,Plettenberg Bay,ZA,2022-05-28 17:08:29,-34.0527,23.3716,60.6,82,25,5.32,scattered clouds
237,Omboue,GA,2022-05-28 17:08:29,-1.5746,9.2618,75.45,84,48,8.16,scattered clouds
238,Rocha,UY,2022-05-28 17:08:30,-34.4833,-54.3333,58.37,63,53,3.18,broken clouds
239,Vicuna,CL,2022-05-28 17:08:30,-30.0319,-70.7081,70.77,37,100,6.31,overcast clouds
240,Eyl,SO,2022-05-28 17:08:31,7.9803,49.8164,81.66,75,60,23.8,broken clouds
241,Jackson,US,2022-05-28 17:08:31,42.4165,-122.8345,60.4,76,100,3.44,overcast clouds
242,Kununurra,AU,2022-05-28 17:05:22,-15.7667,128.7333,60.78,82,9,0.0,clear sky
243,Berlevag,NO,2022-05-28 17:08:32,70.8578,29.0864,49.8,76,37,20.71,scattered clouds
244,Nikolskoye,RU,2022-05-28 17:08:32,59.7035,30.7861,56.88,87,72,2.51,broken clouds
245,San Fernando,PH,2022-05-28 17:04:49,15.0286,120.6898,80.33,82,69,4.7,broken clouds
246,Obo,CF,2022-05-28 17:08:32,5.3998,26.4869,71.87,82,53,5.66,broken clouds
247,Trelew,AR,2022-05-28 17:08:33,-43.249,-65.3051,46.38,41,51,22.17,broken clouds
248,Avera,US,2022-05-28 17:08:33,33.194,-82.5271,81.55,40,0,7.14,clear sky
249,Makakilo City,US,2022-05-28 17:08:34,21.3469,-158.0858,75.52,81,40,8.05,scattered clouds
250,Moussoro,TD,2022-05-28 17:08:34,13.6408,16.4901,99.64,4,2,9.4,clear sky
251,Bowen,AU,2022-05-28 17:08:35,-20.0167,148.2333,65.34,71,2,5.1,clear sky
252,Namibe,AO,2022-05-28 17:08:35,-15.1961,12.1522,65.77,82,24,7.94,few clouds
253,Port Hardy,CA,2022-05-28 17:08:35,50.6996,-127.4199,51.08,76,81,1.9,broken clouds
254,Harper,LR,2022-05-28 17:08:36,4.375,-7.7169,82.8,72,46,8.59,scattered clouds
255,Henderson,US,2022-05-28 17:08:36,36.0397,-114.9819,89.04,17,0,25.32,clear sky
256,Acajutla,SV,2022-05-28 17:08:36,13.5928,-89.8275,86.4,59,30,7.47,scattered clouds
257,Port Hedland,AU,2022-05-28 17:08:37,-20.3167,118.5667,75.25,94,100,4.61,overcast clouds
258,Madarounfa,NE,2022-05-28 17:08:37,13.3087,7.156,103.59,14,6,5.32,clear sky
259,Movileni,RO,2022-05-28 17:08:38,44.3667,24.65,65.46,85,80,19.42,moderate rain
260,Komsomolskiy,UZ,2022-05-28 17:08:38,40.4272,71.7189,63.32,48,40,9.22,light rain
261,Ilesha,NG,2022-05-28 17:08:38,7.1371,5.2583,79.34,80,79,5.53,light rain
